design_id,cost_cny,lambda_max,bottleneck,design
196,47080.0,0.6201742638524563,voltage:1,13:L; 02:H; 23:M
197,50600.0,0.6969593908031074,voltage:1,13:L; 02:H; 23:H
198,43900.0,0.3317437814921598,voltage:1,13:M; 02:L; 23:L
199,46300.0,0.37029728262069644,voltage:1,13:M; 02:L; 23:M
200,49820.0,0.39637134293720827,voltage:1,13:M; 02:L; 23:H
201,48400.0,0.46911025827923997,voltage:1,13:M; 02:M; 23:L
202,50800.0,0.5500993589438073,voltage:1,13:M; 02:M; 23:M
203,54320.0,0.6096790585965884,voltage:1,13:M; 02:M; 23:H
204,55000.0,0.6127206518253547,voltage:1,13:M; 02:H; 23:L
205,57400.0,0.7585966940090138,voltage:1,13:M; 02:H; 23:M
206,60920.0,0.8767489733915022,voltage:1,13:M; 02:H; 23:H
207,49180.0,0.3511444061853446,voltage:1,13:H; 02:L; 23:L
208,51580.0,0.39463460885267343,voltage:1,13:H; 02:L; 23:M
209,55100.0,0.4243863560545695,voltage:1,13:H; 02:L; 23:H
210,53680.0,0.5088665633227251,voltage:1,13:H; 02:M; 23:L
211,56080.0,0.6055797695094716,voltage:1,13:H; 02:M; 23:M
212,59600.0,0.6785807675506664,voltage:1,13:H; 02:M; 23:H
213,60280.0,0.6823508130897767,voltage:1,13:H; 02:H; 23:L
214,62680.0,0.8682965883899819,voltage:1,13:H; 02:H; 23:M
215,66200.0,1.0266581804968156,voltage:1,13:H; 02:H; 23:H
